X_differece_V (unit),Y_differece_V (unit),Z_differece_V (unit),X_differece_P (unit),Y_differece_P (unit),Z_differece_P (unit),,,,,,,,,,,,
-0.4081,-0.09575,0.5211,-0.3944,-0.04321,0.55,0.16654561,0.009168063,0.27154521,0.15555136,0.001867104,0.3025,,,,,,
-0.3831,-0.09575,0.5211,-0.3694,-0.04321,0.55,0.14676561,0.009168063,0.27154521,0.13645636,0.001867104,0.3025,,,,,,
-0.3581,-0.09575,0.5211,-0.3444,-0.04321,0.55,0.12823561,0.009168063,0.27154521,0.11861136,0.001867104,0.3025,,,,,,
-0.4166,-0.09575,0.5211,-0.3444,-0.04321,0.55,0.17355556,0.009168063,0.27154521,0.11861136,0.001867104,0.3025,,,,,,
-0.4166,-0.09575,0.5211,-0.4644,0.0004789,0.55,0.17355556,0.009168063,0.27154521,0.21566736,2.29E-07,0.3025,,,,,,
-0.3916,-0.09575,0.5211,-0.4802,-0.0185,0.55,0.15335056,0.009168063,0.27154521,0.23059204,0.00034225,0.3025,,,,,,
-0.4524,-0.09575,0.5211,-0.4802,-0.0185,0.55,0.20466576,0.009168063,0.27154521,0.23059204,0.00034225,0.3025,,,,,,
-0.4274,-0.07075,0.5211,-0.4327,0.04132,0.55,0.18267076,0.005005563,0.27154521,0.18722929,0.001707342,0.3025,,,,,,
-0.4274,-0.07075,0.5211,-0.5437,-0.006355,0.55,0.18267076,0.005005563,0.27154521,0.29560969,4.04E-05,0.3025,,,,,,
-0.4274,-0.07075,0.5211,-0.45,0.03619,0.5039,0.18267076,0.005005563,0.27154521,0.2025,0.001309716,0.25391521,,,,,,
-0.4274,-0.04575,0.5211,-0.5085,-0.00812,0.55,0.18267076,0.002093063,0.27154521,0.25857225,6.59E-05,0.3025,,,,,,
-0.4536,0.02543,0.538,-0.4968,-0.03708,0.55,0.20575296,0.000646685,0.289444,0.24681024,0.001374926,0.3025,,,,,,
-0.4286,0.05043,0.538,-0.5212,0.004803,0.55,0.18369796,0.002543185,0.289444,0.27164944,2.31E-05,0.3025,,,,,,
-0.4286,0.07543,0.538,-0.5212,0.0298,0.55,0.18369796,0.005689685,0.289444,0.27164944,0.00088804,0.3025,,,,,,
-0.4286,0.07543,0.538,-0.518,0.0144,0.55,0.18369796,0.005689685,0.289444,0.268324,0.00020736,0.3025,,,,,,
-0.4286,0.1004,0.538,-0.518,0.0394,0.55,0.18369796,0.01008016,0.289444,0.268324,0.00155236,0.3025,,,,,,
-0.4549,0.05222,0.5211,-0.5289,0.05111,0.55,0.20693401,0.002726928,0.27154521,0.27973521,0.002612232,0.3025,,,,,,
